CLASSE_ID,GENERO_ID,DESCRICAO
161,266,ESTERCO 1T
161,266,ADUBO HUMUS DE MINHOCA GNUMUS PACOTE 3KG
161,266,ADUBO HUMUS DE MINHOCA GNUMUS PACOTE 5KG
161,266,SULFATO DE POTASSIO OUROFERTIL EM PO SACA 25KG
161,269,CALCARIO AGRICOLA CHAVES SACA 40KG
161,269,FERTILIZANTE AMIORGAN SACA 50KG
161,269,FERTILIZANTE SOLIDO TOP PHOS 328 50KG
161,269,FERTILIZANTE YARA SACA 50KG
161,269,DRIPSOL KCL STANDARD SACA 25KG
161,269,DRIPSOL NKS SACA 25KG
201,325,CAPA PARA ESPINGARDA ALMOFADA CAMUFLADA
201,325,CHUMBINHO CHAKAL VELOZ PARA ESPINGARDA 5.5MM CX 125
201,325,CHUMBINHO DIABOLO PARA ESPINGARDA 5.1/2MM CX 125
201,325,"CHUMBINHO LOBO SPEED PARA ESPINGARDA 5,5MM CX 125"
201,325,"CHUMBINHO DIABOLO ROSSI PARA ESPINGARDA 4,5MM CX C/250"
121,1521,LIVRO DE RECORDACOES E MENINO
121,1521,ALBUM LIVRO DO BEBE MENINO 34 FOLHAS
121,1521,ALBUM FOTOGRAFICO 10X15 80 FOTOS
121,1561,POSTER MOTO HONDA BIZ
121,1372,CORDAO DE SILICONE PARA CRACHA
121,1372,PORTA CRACHA ACP HORIZONTAL COM JACARE REF:C-7ACP PACOTE COM 50
121,1372,CRACHA HORIZONTAL ACP 07X10 PRENDEDOR METAL
121,1594,CAIXA RETANGULAR PAPER BOX PARA PRESENTE 10X10CM
121,1594,CAIXA RETANGULAR PAPER BOX PARA PRESENTE 14X14CM
121,1594,CAIXA RETANGULAR PAPER BOX PARA PRESENTE 9X9CM
121,1594,CAIXA PLASTICA PARA TABLETES E CAPSULAS HERBALIFE PEQUENA
121,1594,LACO PARA PRESENTE RIBBON PULL FLOWER PACOTE COM 10
121,1594,SACO CROMUS PARA CESTA SORTIDO 52X70CM PACOTE COM 25
121,1594,SACO PARA PRESENTE INCOLOR 10X14CM PACOTE COM 50
121,1594,SACO CROMUS SORTIDO 10X14CM PACOTE COM 50
121,1594,SACO PARA PRESENTE CROMUS PEROLADO 20X29CM PACOTE COM 50
121,1594,SACO PARA PRESENTE CROMUS PEROLADO 45X59CM CX C/25
121,1594,SACOLA DE PAPEL PEQUENA 
121,1594,SACOLA DE PRESENTE PEQUENA
121,1594,SACOLA PRESENTE CROMUS
121,1594,SACOLA DE PAPEL PRESENTE NATURA TAMANHO G
